"Place Name", "Latitude", "Longitude"
"Warfordsburg, PA",39.7517573,-78.1875081
"Delaware Water Gap, PA",40.9792619,-75.1429563
"Port Jervis, NY",41.3750937,-74.692663
"Frederick, MD",39.4142688,-77.4105409
"Packwood, WA",46.594540,-121.670998
"Redmond, WA",47.6739881,-122.121512
"Taylorville, IL",39.548935,-89.294533
"Monroe, WA",47.8553772,-121.9709579
"Denver, CO",39.7391536,-104.9847034
"Culver City, CA",34.0211224,-118.3964665
"Alvarado, TX",32.4065312,-97.2116782
"New Smyrna Beach, FL",29.0258191,-80.9269984
"Columbus, TX",29.7066232,-96.5396933
"Moorpark, CA",34.285558,-118.8820414
"Weston, FL",26.1003654,-80.3997748
"Malibu, CA",34.0050079,-118.8100893
"Benbrook, TX",32.673188,-97.4605759
"Coronado, CA",32.6858853,-117.1830891
"Murray, KY",36.6103334,-88.314761
"Canton, TX",32.5565244,-95.8632996
"Midland, TX",31.9973456,-102.0779146
"Arlington, TX",32.735687,-97.1080656
"East Wenatchee, WA",47.4156824,-120.2931263
"Omaha, NE",41.254006,-95.999258
"Greenville, TX",33.1384488,-96.1108066
"Bend, OR",44.0581728,-121.3153096
"John Day, OR",44.4159883,-118.95301
"Chula Vista, CA",32.6400541,-117.0841955
"Pine Valley, CA",32.8214402,-116.5291841
"Belle Plaine, IA",41.8955529,-92.2757404
"Louisville, CO",39.977763,-105.1319296
"Imperial Beach, CA",32.5839444,-117.1130849
"Hopkinsville, KY",36.8656008,-87.4886186
"Grand Prairie, TX",32.7459645,-96.9977846
"Wylie, TX",33.0151201,-96.5388789
"Phoenix, AZ",33.4483771,-112.0740373
"Superior, AZ",33.293945,-111.0962305
"Liberty, MO",39.2461138,-94.4191177
"North Augusta, SC",33.5018026,-81.9651152
"Abilene, KS",38.9172216,-97.2139094
"Kingston, WA",47.7987072,-122.4981921
"Port Angeles, WA",48.118146,-123.4307413
"Port Townsend, WA",48.1170387,-122.7604472
"Lancaster, PA",40.0378755,-76.3055144
"Saratoga Springs, UT",40.3301898,-111.9044877
"Ames, IA",42.02335,-93.6256220
"The Woodlands, TX",30.1579935,-95.4893845
"Apple Valley, MN",44.7319094,-93.21772
"Santa Cruz, CA",36.9741171,-122.0307963
"Texarkana, AR",33.4417915,-94.0376881
"Carlsbad, CA",33.1580933,-117.3505939
"Clewiston, FL",26.7542312,-80.9336753
"Hot Springs, AR",34.5037004,-93.0551795
"Belgrade, MT",45.7786111,-111.1788889
"Pilot Point, TX",33.396503,-96.9605608
"Bryan, TX",30.6743643,-96.3699632
"Denison, TX",33.7556593,-96.536658
"Hillsboro, OR",45.5228939,-122.989827
"Bingen, WA",45.7148416,-121.4645173
"Congress, AZ",34.162526,-112.8507374
"Cleburne, TX",32.3476438,-97.3866837
"Newberg, OR",45.3001178,-122.9731565
"Florence, SC",34.1954331,-79.7625625
"Saratoga, WY",41.4549621,-106.8064263
"saratoga, WY",41.4549621,-106.8064263
"Jefferson City, MO",38.5767017,-92.1735164
"Creal Springs, IL",37.6194946,-88.8367311
"San Benito, TX",26.132576,-97.6311006
"Ephrata, PA",40.1798165,-76.1788391
"Waterloo, IA",42.4927641,-92.3429631
"Forest Grove, OR",45.5198364,-123.1106631
"Garibaldi, OR",45.5598266,-123.9109643
"Bandon, OR",43.1189978,-124.408448
"Reedsport, OR",43.7023389,-124.0967779
"Newport, OR",44.6367836,-124.0534505
"Tillamook, OR",45.4562158,-123.8440137
"Sault Sainte Marie, MI",46.4143194,-84.2913075
"Haymarket, VA",38.8120591,-77.6363806
"Munising, MI",46.4110574,-86.6479361
"Silver Bay, MN",47.2943647,-91.257386
"Ashland, WI",46.5924428,-90.8837982
"Middletown, VA",39.0276078,-78.280558
"Rio Hondo, TX",26.2353516,-97.5819319
"Topeka, KS",39.0558235,-95.6890185
"Grandview, MO",38.8858407,-94.5330096
"Rockwall, TX",32.9312336,-96.4597089
"Twentynine Palms, CA",34.1355582,-116.0541689
"Washington, UT",37.1305373,-113.5082867
"Ephrata, WA",47.3176385,-119.5536491
"Corvallis, OR",44.5645659,-123.2620435
"Nellysford, VA",37.888687,-78.872879
"Marblemount, WA",48.527619,-121.4495729
"Oak Grove, MO",39.0050073,-94.1293909
"Middletown, MD",39.4437123,-77.5447102
"Front Royal, VA",38.9181671,-78.1944446
"Kent, WA",47.3809335,-122.2348431
"Marion, IL",37.7306054,-88.9331256
"Arlington, WA",48.1987118,-122.1251418
"Tully, NY",42.7981229,-76.1093695
"Walden, CO",40.7316433,-106.2836373
"Orcas, WA",48.5978797,-122.9446258
"Camp Verde, AZ",34.5636358,-111.8543178
"St. Johns, Portland, OR",45.59028,-122.75333
"Olathe, KS",38.8813958,-94.8191285
"Nauvoo, IL",40.550042,-91.3848749
"Pacifica, CA",37.6138253,-122.4869194
"Ottawa, KS",38.6155668,-95.2677515
"Jacksonville, FL",30.3321838,-81.655651
"Sanger, TX",33.3631705,-97.1739027
"Bellevue, WA",47.610377,-122.2006786
"Springfield, MO",37.215326,-93.2982436
"Berkeley, CA",37.8715926,-122.272747
"Lake Henshaw, CA",33.2363016,-116.7466984
"Prosper, TX",33.2362278,-96.80111
"Lacey, WA",47.0342629,-122.8231915
"Nashville, TN",36.1658899,-86.7844432
"Pleasanton, CA",37.6624312,-121.8746789
"Richfield, UT",38.7724673,-112.0840943
"Tucson, AZ",32.2217429,-110.926479
"Bellville, TX",29.9502253,-96.2571858
"Brookshire, TX",29.7860643,-95.9510661
"Kansas City, KS",39.1066667,-94.6763889
"Yuma, AZ",32.7253248,-114.624397
"San Juan Capistrano, CA",33.5016932,-117.6625509
"Elmira, NY",42.0897965,-76.8077338
"Oakhurst, CA",37.3279997,-119.6493154
"Raleigh, NC",35.772096,-78.6386145
"San Angelo, TX",31.4637723,-100.4370375
"Manson, WA",47.8848573,-120.1584115
"Austin, TX",30.267153,-97.7430608
"Denali National Park, AK",63.625637,-151.1602068
"Santa Rosa, CA",38.4404674,-122.7144314
"Half Moon Bay, CA",37.4635519,-122.4285862
"Georgetown, TX",30.6326942,-97.6772311
"Athens, GA",33.955802,-83.3823656
"St. Louis Park, MN",44.9483333,-93.3480556
"Boonville, MO",38.9736392,-92.7432418
"Ontario, NY",43.2208968,-77.2830421
"Foothill Ranch, CA",33.686390,-117.66
"Mission Bay, CA",37.7668389,-122.3908167
"Venus, TX",32.4334742,-97.1025077
"Winter Park, FL",28.6,-81.3392352
"Bells, TX",33.6103837,-96.4108188
"Cedartown, GA",34.01849,-85.253464
"Franklinton, LA",30.8471283,-90.153141
"Sunnyvale, CA",37.368830,-122.0363496
"Golden, CO",39.755543,-105.2210997
"Bellingham, WA",48.7595529,-122.4882249
"Davenport, WA",47.6540456,-118.149973
"Oak Grove, KY",36.6650471,-87.4427878
"Colbert, WA",47.8265601,-117.3418832
"Davis, CA",38.5449065,-121.7405167
"Hereford, MD",39.5889939,-76.6633047
"Wilsonville, OR",45.2998418,-122.7737062
"Catonsville, MD",39.2720509,-76.7319161
"Fremont, CA",37.5482697,-121.9885719
"Whitsett, NC",36.0712466,-79.5644686
"Santaquin, UT",39.9755101,-111.7852106
"Weatherford, TX",32.7592955,-97.7972544
"Mesa, AZ",33.4222685,-111.8226402
"Des Moines, IA",41.6005448,-93.6091064
"Italy, TX",32.1840381,-96.8847194
"Rosendale, NY",41.8439818,-74.0820865
"El Campo, TX",29.1966405,-96.2696867
"Brownsville, TN",35.5939671,-89.262291
"Alamo, CA",37.8502032,-122.032184
"Deming, WA",48.8256718,-122.21599
"Flagstaff, AZ",35.2013516,-111.639249
"Grand Junction, CO",39.0638705,-108.5506486
"Pacific City, OR",45.2023263,-123.9628946
"Pasadena, CA",34.1477849,-118.1445155
"Miccosukee Indian Reservation, FL",26.1504374,-80.8322428
"Bremerton, WA",47.57,-122.6525
"Halfway, OR",44.880715,-117.1146173
"Elgin, OR",45.5648612,-117.917434
"Knoxville, TN",35.9606384,-83.9207392
"The Dalles, OR",45.5945645,-121.1786823
"Lexington, TN",35.6509029,-88.3933796
"Condon, OR",45.2342966,-120.1850344
"Aptos, CA",36.9771729,-121.8994016
"Woodbine, MD",39.3598259,-77.0624803
"Tuscumbia, AL",34.7312005,-87.70253
"Collinwood, TN",35.1742474,-87.7378029
"Houston, MS",33.8984461,-88.9992267
"Natchez, MS",31.5604442,-91.403171
"Burlington, KS",38.1944667,-95.7427641
"Ridgeland, MS",32.4284761,-90.1323087
"Plano, TX",33.0198431,-96.6988856
"Poolesville, MD",39.1459392,-77.4169311
"Griffin, GA",33.2467807,-84.2640904
"Duvall, WA",47.7423218,-121.9856781
"Tampa, FL",27.949436,-82.4651441
"Cedar Falls, IA",42.5236111,-92.4463889
"Friday Harbor, WA",48.5342662,-123.0171242
"Roche Harbor, WA",48.6098217,-123.1487983
"Mason, OH",39.3600586,-84.309939
"Garner, NC",35.7112642,-78.6141709
"Milford, OH",39.1753377,-84.2943821
"Start City, Start State",40.7027484,-74.0142245
"Heppner, OR",45.3531842,-119.5577997
"Bansall, CA",33.2889226,-117.2255903
"Bethesda, TN",35.8222888,-85.3424701
"Clemson, SC",34.6834382,-82.8373654
"Bexley, OH",39.9689532,-82.9376804
"Bonsall, CA",33.2889226,-117.2255903
"Celina, TX",33.3245586,-96.7844417
"Lehi, UT",40.3916172,-111.8507662
"Tellico Plains, TN",35.362855,-84.294087
"Benson, NC",35.3821067,-78.548621
"Mineral Wells, TX",32.8084605,-98.1128223
"Alpine, CA",32.8350521,-116.7664109
"Black Diamond, WA",47.3087121,-122.0031691
"Piedmont, AL",33.9245454,-85.6113501
"San Francisco, CA",37.7749295,-122.4194155
"North Wilkesboro, NC",36.1584651,-81.1475841
"Arlington, VA",38.8799697,-77.1067698
"Naperville, IL",41.7858629,-88.1472893
"Buellton, CA",34.613597,-120.1926505
"Cape Charles, VA",37.267916,-76.0174336
"Clemmons, NC",36.0215258,-80.3819984
"Elbe, WA",46.7648287,-122.1937212
"Hillsborough, NJ",40.4775,-74.62722
"Ashford, WA",46.7584413,-122.0309409
"Linden, TX",33.0123537,-94.3654707
"Council Grove, KS",38.6611187,-96.4919473
"Avenue City, MO",39.8633274,-94.7571864
"Anaheim, CA",33.8352932,-117.9145036
"Strafford, MO",37.2683802,-93.1171264
"Sperryville, VA",38.657065,-78.2261122
"Fulshear, TX",29.6899563,-95.8996757
"Duncanville, TX",32.6518004,-96.9083366
"Payson, AZ",34.2308684,-111.3251355
"Winthrop, WA",48.4779232,-120.1861956
"High Point, NC",35.9556923,-80.0053176
"Robinson, TX",31.4676687,-97.1147225
"Tracy, CA",37.73965138,-121.4252227
"Antlers, OK",34.231212,-95.6202476
"Benicia, CA",38.049365,-122.1585777
"Glen Echo, MD",38.9689993,-77.1424791
"Gresham, OR",45.4981757,-122.4314796
"Lebanon Church, VA",39.0551071,-78.3680608
"Greenwater, WA",47.1559405,-121.6503772
"Pasco, WA",46.2395793,-119.1005657
"Salt Lake City, UT",40.7607793,-111.8910474
"Portland, OR",45.5234515,-122.6762071
"Clinton, WA",47.9784276,-122.3556962
"North Bend, WA",47.4956579,-121.7867775
"Dallas, TX",32.802955,-96.769923
"Warrenton, VA",38.7134516,-77.7952712
"Washington, VA",38.7134519,-78.1594439
"El Cajon, CA",32.7947731,-116.9625269
"La Jolla, CA",32.8406775,-117.2587935
"Wallops Island, VA",37.9106188,-75.452572
"Grand Ronde, OR",45.060113,-123.6092771
"Shepherdstown, WV",39.4300996,-77.8041609
"Snohomish, WA",47.9128756,-122.0981848
"Brentwood, TN",36.0331164,-86.7827772
"Jamul, CA",32.7169988,-116.8761347
"Princeton Junction, NJ",40.3173301,-74.6198791
"Fort Collins, CO",40.5852602,-105.084423
"Morton, WA",46.5584421,-122.2751046
"Issaquah, WA",47.5301011,-122.0326191
"Loveland, OH",39.2689476,-84.263826
"Lyle, WA",45.695954,-121.2861833
"Newton, MA",42.3370413,-71.2092214
"Chappell Hill, TX",30.1427171,-96.2569071
"Gainesville, FL",29.6516344,-82.3248262
"Corona, CA",33.8752935,-117.5664384
"Crane, TX",31.3973624,-102.3501419
"Story City, IA",42.1863889,-93.5919444
"La Costa, CA",33.09111,-117.26528
"Odessa, TX",31.8456816,-102.3676431
"Woodlands, TX",27.5255818,-99.43324
"Akron, OH",41.0814447,-81.5190053
"Boulder, CO",40.0149856,-105.2705456
"Superior, CO",39.9527634,-105.1685977
"Clifton, AZ",33.0508966,-109.2961826
"Calera, OK",33.9345433,-96.4286022
"Thornport, OH",39.9109,-82.40892
"Moroni, UT",39.5249615,-111.5904725
"Gunnison, UT",39.1552391,-111.8182582
"New Paltz, NY",41.7475933,-74.0868095
"Ontario, OR",44.0265525,-116.9629378
"Gulf Shores, AL",30.2460361,-87.7008193
"Tacoma, WA",47.2528768,-122.4442906
"Enumclaw, WA",47.2042681,-121.9915003
"Darnestown, MD",39.1034409,-77.2908166
"Pasquo, TN",36.03262,-86.974808
"Bonifay, FL",30.7918559,-85.6796533
"Scappoose, OR",45.7542809,-122.8776039
"Mazama, WA",48.59375,-120.398499
"Monterey, VA",38.4123429,-79.5806036
"Leavenworth, WA",47.5962326,-120.6614765
"Woodinville, WA",47.7542651,-122.1634582
"Vernonia, OR",45.8587228,-123.1928926
"New Orleans, LA",29.9647222,-90.0705556
"New Waverly, TX",30.5377007,-95.483276
"Melbourne, FL",28.0836269,-80.6081089
"Cameron, AZ",35.8758285,-111.4129207
"Moab, UT",38.5733155,-109.5498395
"Las Vegas, NV",36.114646,-115.172816
"Grand Canyon, Marketplace, GCNP, AZ",34.0489281,-111.0937311
"Centralia, WA",46.7162136,-122.9542972
"Pana, IL",39.3889311,-89.0800809
"Richardson, TX",32.9481789,-96.7297205
"River Ridge, LA",29.9602043,-90.2156316
"Catalina, AZ",32.5000731,-110.9212146
"Florence, AZ",33.0314508,-111.3873431
"King City, CA",36.2127439,-121.1260287
"Van Alstyne, TX",33.4214995,-96.5772109
"McKinney, TX",33.1972465,-96.6397822
"Memphis, TN",35.1495343,-90.0489801
"Montecito, CA",34.4366626,-119.6320753
"Kuna, ID",43.4918307,-116.4201223
"Crofton, MD",39.0017772,-76.6874671
"Rockville, MD",39.0839973,-77.1527578
"Carthage, MO",37.176447,-94.3102228
"Richland, WA",46.2856907,-119.2844621
"Ocotillo, CA",32.7386713,-115.99418
"Ashland, VA",37.7590318,-77.4799837
"Madras, OR",44.6334544,-121.1294872
"Helotes, TX",29.5780056,-98.6897451
"Stevenson, WA",45.6956723,-121.8845241
"Waterville, ME",44.5520105,-69.6317121
"Nehalem, OR",45.7201074,-123.8940225
"Port Isabel, TX",26.0734119,-97.2085844
"Sherwood, OR",45.3565074,-122.840098
"Siler City, NC",35.7234734,-79.4622431
"Rancho Cucamonga, CA",34.1063989,-117.5931084
"Baker City, OR",44.7748748,-117.8343848
"Slater, IA",41.879021,-93.686974
"Adel, IA",41.6144325,-94.017453
"Madison, WI",43.0730517,-89.4012302
"Chandler, AZ",33.3061605,-111.8412502
"Lincoln, NE",40.806862,-96.681679
"Fairbanks Ranch, CA",32.9939331,-117.1872572
"Orinda, CA",37.8771476,-122.1796888
"Sterling City, TX",31.8362502,-100.9848324
"Chattanooga, TN",35.0456297,-85.3096801
"Baxter, TN",36.1536718,-85.6435909
"Fort Lauderdale, FL",26.1223084,-80.1433786
"Ocean Beach, CA",32.74444,-117.251958
"Cadiz, KY",36.8650496,-87.835295
"Carson, WA",45.725000,-121.818333
"Sunnyside, WA",46.3237423,-120.0086538
"Piercetown, SC",34.6567789,-82.5926324
"Urbana, MD",39.3259366,-77.3513738
"Greensboro, NC",36.0726354,-79.7919754
"Leesburg, VA",39.1156615,-77.5636015
"Saint George, UT",37.0952778,-113.5780556
"Colbert, OK",33.8531568,-96.5024916
"Lewisville, NC",36.0970819,-80.4192216
"Dana Point, CA",33.4669721,-117.6981075
"Mount Dora, FL",28.8024918,-81.644519
"Petersburg, VA",37.2279279,-77.4019267
"Westford, MA",42.5792583,-71.4378411
"Steamboat Springs, CO",40.4849769,-106.8317158
"Camano Island, WA",48.1739862,-122.5282138
"Mount Penn, PA",40.3281484,-75.8907603
"Lighthouse Point, FL",26.275636,-80.0872654
"Chapel Hill, NC",35.9131996,-79.0558445
"Tumwater, WA",47.0073187,-122.9093063
"Nephi, UT",39.7102336,-111.8363216
"Plummer, ID",47.3351803,-116.8885094
"Connell, WA",46.6634733,-118.8611117
"Brandon, MS",32.2732024,-89.9859158
"Prentiss, MS",31.5985012,-89.8670229
"Abilene, TX",32.4487364,-99.7331439
"Rome, GA",34.257038,-85.1646726
"Chehalis, WA",46.6620478,-122.9640175
"Grapevine, TX",32.9342919,-97.0780654
"Princeton, TX",33.1801161,-96.4980424
"Red Lodge, MT",45.1857782,-109.2468211
"Mansfield, TX",32.5631924,-97.1416768
"Grain Valley, MO",39.0150069,-94.198558
"Fort Worth, TX",32.725409,-97.3208496
"Kosciusko, MS",33.0576295,-89.5875764
"Maitland, FL",28.6277767,-81.3631244
"Ramona, CA",33.0417111,-116.868082
"Parkrose, Portland, OR",45.559722,-122.559167
"Sealy, TX",29.7807878,-96.1571833
"Talladega, AL",33.4359416,-86.1058048
"Clatskanie, OR",46.1012219,-123.2067863
"Delta, UT",39.3521777,-112.57717
"Oak Harbor, WA",48.2931559,-122.6432245
"Elkhart, TX",31.6251747,-95.5793977
"Des Moines, WA",47.4017661,-122.3242902
"Kimball Junction, UT",40.728947,-111.546646
"Cle Elum, MN",46.729553,-94.6858998
"Mt. Vernon, MO",37.1036665,-93.8185401
"San Juan Bautista, CA",36.8455108,-121.5379974
"Strasburg, VA",38.9887199,-78.358616
"Wichita Falls, TX",33.9137085,-98.4933873
"Bethesda, MD",38.9806658,-77.100256
"Pleasant Hill, CA",37.9479786,-122.0607963
"Winlock, WA",46.4912176,-122.9378983
"Clints Well, AZ",34.5544699,-111.3129169
"Dublin, CA",37.7021521,-121.9357918
"Deland, FL",29.028318,-81.3031179
"Ely, MN",47.9032372,-91.8670873
"North Plains, OR",45.5970596,-122.9934389
"Prescott Valley, AZ",34.6100243,-112.315721
"Grand Rivers, KY",37.0031109,-88.2344746
"Los Gatos, CA",37.226611,-121.9746797
"Fort  Davis, TX",30.5882111,-103.8946253
"San Bernardino, CA",34.1083449,-117.2897652
"Bristow, VA",38.7228945,-77.5361005
"Blue Ash, OH",39.2320029,-84.3782734
"Mount Pleasant, UT",39.5469073,-111.4554659
"Eugene, OR",44.0520691,-123.0867536
"Carmel, CA",36.5552386,-121.9232879
"Springville, UT",40.1652335,-111.6107526
"Renton, WA",47.4828776,-122.2170661
"Waterloo, NE",41.2866657,-96.2850241
"Calipatria, CA",33.1255957,-115.5141538
"Encinitas, CA",33.0369867,-117.2919818
"Plains, MT",47.4602135,-114.8829119
"Healdsburg, CA",38.6104658,-122.8691609
"Sherman, TX",33.6356618,-96.6088805
"San Luis Obispo, CA",35.2827524,-120.6596156
"Crowley, TX",32.5790251,-97.3625172
"Reading, PA",40.3356483,-75.9268747
"Longview, TX",32.5007037,-94.7404891
"Astoria, OR",46.1878841,-123.8312534
"Cumberland, MD",39.6528654,-78.7625185
"Limerick, PA",40.2309343,-75.5221245
"Three Forks, MT",45.892428,-111.5521925
"Bozeman, MT",45.68346,-111.050499
"Windsor, VA",36.808483,-76.7441246
"Tempe, AZ",33.414768,-111.9093095
"Joshua Tree, CA",34.134728,-116.3130661
"Oracle, AZ",32.6109054,-110.7709348
"Southworth, WA",47.5120421,-122.5017972
"Atlanta, IL",40.2594846,-89.2334236
"Toyahvale, TX",30.9443129,-103.7893488
"Cle Elum, WA",47.1953976,-120.939249
"Scottsdale, AZ",33.4941704,-111.9260519
"Little Rock, AR",34.7464809,-92.2895948
"Corona del Mar, CA",33.59806,-117.87222
"Goleta, CA",34.4358294,-119.8276389
"Sacramento, CA",38.5815719,-121.4943996
"San Jose, CA",37.3393857,-121.8949555
"Mt. Dora, FL",28.8024918,-81.644519
"Naples, FL",26.1420358,-81.7948103
"Satellite Beach, FL",28.1761233,-80.5900519
"W Fort Island, FL",28.9102554,-82.6923258
"Boise, ID",43.5867164,-116.1956556
"Carlyle, IL",38.6103264,-89.3725796
"Springfield, IL",39.7817213,-89.6501481
"Iowa City, IA",41.6611277,-91.5301683
"Frankfort, KY",38.2009055,-84.8732835
"Sault Ste. Marie, MI",46.4952996,-84.3453169
"St. Paul, MN",44.9541667,-93.1138889
"Whitefish, MT",48.4110757,-114.3376334
"Cape May, NJ",38.9351125,-74.9060053
"Santa Fe, NM",35.6869752,-105.937799
"Wawa, ON",47.992392,-84.771007
"Oklahoma City, OK",35.4675602,-97.5164276
"Waurika, OK",34.1670371,-97.997536
"Brookings, OR",42.0526114,-124.2839819
"Burns, OR",43.5862606,-119.0541032
"Klamath Falls, OR",42.224867,-121.7816704
"La Grande, OR",45.3245771,-118.0877188
"Maupin, OR",45.1751205,-121.0814491
"Salem, OR",44.9428975,-123.0350963
"Spray, OR",44.8343064,-119.7944489
"Pierre, SD",44.3683156,-100.3509665
"Katy, TX",29.7857853,-95.8243956
"Lockhart, TX",29.8849441,-97.67
"Monahans, TX",31.5942991,-102.8926536
"Seguin, TX",29.5688411,-97.9647269
"Waco, TX",31.549333,-97.1466695
"Mukilteo, WA",47.9445396,-122.3045815
"Paradise, WA",46.78622,-121.7353718
"Pullman, WA",46.7312745,-117.1796158
"Rimrock Lake, WA",46.6413466,-121.1663016
"Spokane, WA",47.6587802,-117.4260466
"Wenatchee, WA",47.4234599,-120.3103494
"Winslow, WA",47.6251634,-122.5144653
"Yakima, WA",46.6020711,-120.5058987
"Zillah, WA",46.4020734,-120.2619988
"Kirkwood, CA",38.7026857,-120.0726855
"Petaluma, CA",38.232417,-122.6366524
"Boston, MA",42.3584308,-71.0597732
"Painted Post, NY",42.1620186,-77.0941366
"Nashville, NC",35.974598,-77.9655406
"Bluffdale, UT",40.4896711,-111.9388244
"Lake Forest Park, WA",47.7567644,-122.2809602
"Henderson, NV",36.033669,-115.002364
"Escondido, CA",33.1192068,-117.086421
"San Marcos, CA",33.1433723,-117.1661449
"Evans, GA",33.5337464,-82.1306747
"Thurmont, MD",39.6237094,-77.4108201
"Anchorage, AK",61.2180556,-149.9002778
"Seward, AK",60.1041667,-149.4422222
"Carbondale, IL",37.7272727,-89.2167501
"Woodlawn, IL",38.3300496,-89.0325693
"Harwood, MD",38.8653918,-76.619963
"Mt. Airy, MD",39.3762145,-77.154704
"Powder Springs, GA",33.8595491,-84.683824
"Emmitsburg, MD",39.7045417,-77.3269307
"Pacific Grove, CA",36.6177374,-121.9166215
"Shawnee, KS",39.0416718,-94.7202376
"Franklin, TN",35.9250637,-86.8688899
"Marshall, VA",38.8648353,-77.8577726
"Santa Barbara, CA",34.4208305,-119.6981901
"Elwood, KS",39.7555498,-94.8724660
"Fountain Hills, AZ",33.60535,-111.741113
"Walnut Creek, CA",37.9063131,-122.064963
"Brazil, IN",39.523652,-87.1250154
"Gretna, LA",29.9146493,-90.0539603
"Belvidere, NJ",40.82982,-75.0776747
"Wilson, NC",35.7212689,-77.9155395
"Cedar Park, TX",30.505198,-97.8202888
"Marble Falls, TX",30.5782446,-98.2728003
"Pottsboro, TX",33.759271,-96.6694402
"Brattleboro, VT",42.8509152,-72.5578678
"Black River Falls, WI",44.2946833,-90.8515311
"New Richmond, WI",45.1230213,-92.5365865
"Garden City, KS",37.9716898,-100.8726618
"Oakley, KS",39.1333410,-100.8637593
"Laytonsville, MD",39.21205040,-77.14275870
"St. Joseph, MO",39.7577778,-94.83638890
"Rancocas, NJ",40.01066740,-74.8668320
"Todd Mission, TX",30.26159940,-95.830228399
"Novato, CA",38.1074198,-122.5697032
"Cape Vincent, NY",44.1278299,-76.3330006
"Bronte, TX",31.8873671,-100.2917601
"Water Valley, TX",31.6676509,-100.7170481
"Wakefield, VA",36.9682064,-76.989683
"Wasilla, AK",61.5813889,-149.4394444
"Fairfield, CA",38.24935809,-122.0399663
"South Lake Tahoe, CA",38.933241,-119.9843482
"Tahoe City, CA",39.15027779,-120.1497222
"Ho-Ho-Kus, NJ",40.99648634,-74.101253
"Woodcliff, NJ",41.0194399,-74.0439659
"cookeville, TN",36.162839,-85.5016423
"College Station, TX",30.627977,-96.3344068
"Crockett, TX",31.3182359,-95.4566136
"St. Jo, TX",33.6947222,-97.5236111
"Waxahachie, TX",32.3865312,-96.8483311
"Chesapeake, VA",36.7682088,-76.2874927
"Virginia Beach, VA",36.8529263,-75.977985
"Grand Canyon National Park, AZ",36.3551644,-112.6612088
"Brooklyn Center, MN",45.076076,-93.3327283
"Cookeville, TN",36.162839,-85.5016423
"Florence, TX",30.8412954,-97.7936268
"Fairview, UT",39.626351,-111.4396325
"Falls Church, VA",38.882334,-77.1710914
"Grand Canyon Village, AZ",36.0544445,-112.1401108
"Carmichael, CA",38.617127,-121.3282843
"Durango, CO",37.27528,-107.8800667
"Upper Marlboro, MD",38.8159473,-76.7496909
"Hinckley, MN",46.01451,-92.938386
"Belmar, NJ",40.1784471,-74.0218037
"Rouses Point, NY",44.9939279,-73.3648557
"Florence, OR",43.9826214,-124.0998409
"Roseburg, OR",43.216505,-123.3417381
"Tigard, OR",45.4312294,-122.7714861
"Ludlow, VT",43.3959056,-72.7006518
"Middlebury, VT",44.0153371,-73.16734
"Williston, VT",44.4454432,-73.099194
"Old Sacramento, CA",38.5734401,-121.5105925
"Pauma Valley, CA",33.30333,-116.98056
"Chariton, IA",41.017594,-93.309862
"Hurricane, UT",37.1752607,-113.2899484
"Levan, UT",39.5585686,-111.8618734
"Granite Falls, WA",48.0839895,-121.968742
"Oakville, WA",46.8403765,-123.2323686
"Arcadia, FL",27.2158826,-81.8584164
"Deltona, FL",28.9005446,-81.2636738
"St. Petersburg, FL",27.7730556,-82.64000
"Sandy Springs, GA",33.9242688,-84.3785379
